SMILES,des_cv,pred_cv,Err_pred_des
CC1C2OC2C1CC(C)C=O,26.975,33.21136475,0.262657649
CC(C)(C1CC=O)CO1,26.975,32.16125488,0.208281888
OC1C(CC(C)CCCCC)C1O,26.975,30.19524574,0.174327651
CC(C)C1(CC)CCCCCC1,26.975,31.84165573,0.291866123
CC(C)C1(C(C)C)CCC1,26.975,34.94128418,0.298357101
CC(C=O)(OO)CC,26.975,29.25053596,0.272248461
CC12C=C4C1CCC(CC)C24,26.975,29.34831429,0.196438803
CC(C)C1(C=COO)CC1,26.975,32.82799149,0.266049746
CC(C=CC2CCCCC(C))C2,26.975,31.10739517,0.281173088
CC1C23C1C2CCCCCCCC3,26.975,29.1784935,0.21513209
CC1C2CC(CC)CC(C)C12,26.975,30.1429863,0.264032513
CC(C)C1(O)C(F)CC1O,26.975,30.54381943,0.267870856
OC1C2OC3CCC1(CC)C23,26.975,31.88043213,0.256358488
CC(COOC(C)=O)CCCO,26.975,30.55370712,0.214254106
CC(C)CC(O)CC(C)CO,26.975,33.69552612,0.287844702
CC1C2=C1CC(C)(C)CO2,26.975,30.48124695,0.296210982
CC1CCCC1CC(C)(C)COO,26.975,32.80684662,0.244070804
CC1CC=C1C1CCCCCCCC1,26.975,32.54586029,0.298451971
CC1CC(C1C1CCCCCC)C1,26.975,28.10156822,0.23940022
OC(C#CC1C2CC1)CC2,26.975,31.66338348,0.192793408
CC1C2OC2C3CCC(C)C13,26.975,31.03964615,0.196750528
OC1C2CC2OCCC1CCCC,26.975,27.8923111,0.265853252
CC(C(C)=O)CCCCCC,26.975,28.67115211,0.250967881
CC1c2CC(O)C(CC)CC12,26.975,31.68619156,0.291761215
CC1CC(C1C1CCCCC)CC1,26.975,29.38829613,0.250929017
CCCC1CC(CCNN)CC1,26.975,32.58609772,0.224659899
CC1CCOC1C1(CCCC)CO1,26.975,33.9852829,0.269961845
CC1C2CC1CCCCC(C)CO2,26.975,29.42520332,0.091561003
CC1C2CC(C)CC(=C)C12,26.975,31.95866013,0.286438225
CC(C)C1(C(C)C=O)CO1,26.975,33.26099014,0.273430388
CC1CCOC1C1CCC(C)CC1,26.975,34.06315231,0.291122197
CC1CC3C1OCCCCCCC3O,26.975,25.82419205,0.281841615
CC1C2CC1CCCCC(C)CC2,26.975,33.68382263,0.288405907
CC1C2OC3CC3CC(C)C12,26.975,33.4201355,0.244871848
OC12C3C1C3CCCCCCCC2,26.975,29.16700363,0.194345735
CC12C=COC1(C)CCCCC2,26.975,29.03549385,0.28883576
CC(C2OC(C))C(=O)CO2,26.975,33.11385345,0.24921726
CC1C2OC1CC(CCCC)CC2,26.975,29.25548172,0.092835599
Oc1c2nCc1C1CC(C)C12,26.975,29.63856506,0.29767576
CC(C)CN(C)COCC,41.223,41.22741699,0.285137326
CC(C1CN(N)C=O)C1,41.223,40.80563354,0.297043692
CC(C)CN(C=O)COC,41.223,40.86899567,0.262630337
CC(C)CC(C)C(O)CC,41.223,41.30275726,0.261145284
CC(C(C)=C)C(C)CC,41.223,41.33402252,0.218582164
CC(C)CC(=O)C(C)C,41.223,40.56256485,0.238141674
CC(C)CN(C(C)=O)CC,41.223,40.14859009,0.229630706
CC(C)CC(C=O)CCCCC,41.223,36.86744308,0.298717378
CC(C1CN(C))CC(C)C1,41.223,39.44269562,0.287015375
