SMILES,des_cv,pred_cv,Err_pred_des,jobacks,Err_joback_pred
COCCCCCCCCO,41.2481,36.90755081,0.105230282,57.35097718,0.356461692
CCCCCCOCCCO,40.3108,35.99508286,0.107061064,57.35097718,0.372371935
CCCCCCCCCOO,42.1502,37.19261169,0.117617195,57.35097718,0.35149123
CCOCCCCCCCO,45.4406,37.38198853,0.177343862,57.35097718,0.348189162
CCCCCC(O)CCOC,40.9478,34.65044403,0.153789849,57.29967156,0.395276743
CCCCCC(CO)COC,40.0129,38.24495697,0.044184326,57.29967156,0.332544918
CC(C)CCCOCCCO,41.272,35.01165771,0.151684975,57.29967156,0.388972803
CCOCC(C)CCCCO,46.8881,39.56010818,0.156286815,57.29967156,0.309592758
CCCC1C(CC)C1C(C)C,40.5473,37.92272949,0.064728613,57.2952226,0.338117076
CCCCC(C)(O)CCOC,40.5875,34.53174973,0.149202347,57.27447455,0.397083081
CCC1CCCC(C)CCC1C,41.0787,34.86984253,0.151145423,57.26039774,0.391030382
CCCCCC1OC(CO)N1C,41.0671,34.57847977,0.158000449,57.25994081,0.396113945
CCNN(CCCO)C(O)CO,41.8257,36.03746796,0.138389365,57.25242698,0.370551261
CCCC(O)(O)N(CCO)NC,40.3095,33.8763237,0.159594545,57.22722997,0.408038381
CCCCCCCCCC=O,41.0787,34.0010376,0.17229519,57.16011742,0.405161516
CCCC(C)CCCCC=O,40.9333,37.98256683,0.072086374,57.1088118,0.334908823
CC(C)CCCCCCC=O,43.9139,36.9642601,0.15825604,57.1088118,0.352739815
CCC(C)CCCCCC=O,40.0129,35.76463699,0.106172335,57.1088118,0.373745734
CCC(C)(C)CCCCC=O,40.5473,34.8155899,0.141358613,57.08361479,0.390094863
CCCC(CCC)C(C)C=O,40.0263,36.99580383,0.075712623,57.05750617,0.351604963
CCCCC(C)C(C)CC=O,44.3287,35.90836334,0.189952258,57.05750617,0.370663638
CCC#CCC(C)CCCC,42.1502,35.75793839,0.15165436,56.88550795,0.371405132
CCC#CCCC(C)CCC,41.272,37.35643005,0.094872309,56.88550795,0.343304975
CCCCCCCC1CC1C,42.8329,36.55342102,0.146604105,56.81562889,0.356630882
COCCCCCCNNN,41.8257,34.92985535,0.164870992,56.76280521,0.384634794
CCCCCCCC(N)C=O,42.1502,37.69742584,0.105640641,56.74534297,0.335673663
C#CCC(N)NCCCCC,40.9393,35.08507538,0.142997673,56.68206326,0.381019791
C=CC(CC)CCCCCO,40.9333,33.10785294,0.191175573,56.65165198,0.415588923
C=C(C)C(C)C(C)CCCO,40.8367,35.98192596,0.118882624,56.63103459,0.364625311
C=CC(C)CCC(C)CCO,41.1939,35.33473969,0.142233688,56.60034636,0.375715133
CCCCCOC1CCCCC1,40.5473,35.44496918,0.125836512,56.55207369,0.373233078
CCCCCCC1=CCCCC1,40.512,33.32022858,0.177522004,56.50236453,0.410286121
C#CCC(CCCCC)OC,42.858,36.53898239,0.147440795,56.473017,0.352983348
C#CCC(C)CCCCOC,42.6848,37.10752106,0.130661944,56.473017,0.342915909
CCC1CC(C=COC)C1CC,43.9139,35.80513763,0.184651383,56.3925733,0.365073528
CCCCCCCCC1CC1,43.7962,37.05204773,0.153989439,56.28472955,0.341703371
CCCCCC1(C)CC1CC,40.0534,32.72029877,0.183083115,56.24162703,0.4182192
CCCC1C(CC)CC1CC,43.8909,36.06209564,0.178369647,56.23490249,0.358723959
CCCCCC(CC)C1CC1,42.1319,35.29261017,0.162330439,56.23342393,0.372390872
CCCCCCC(C)C1CC1,45.9398,37.30007935,0.188066136,56.23342393,0.336692011
CCCCC(C)CCC1CC1,40.0129,37.42402649,0.064700972,56.23342393,0.334487857
CCCCC(CCC)C1CC1,40.7528,33.64929962,0.174307051,56.23342393,0.401613893
CCCC1C(C)C(C)(C)C1C,41.2481,35.56071472,0.137882358,56.19179997,0.367154732
CCCCOCCOC1CC1O,42.3265,35.91322708,0.151519094,56.17825302,0.360727236
CC(C)OC1C(O)C1CCCO,40.9333,33.36245346,0.184955685,56.15780322,0.405915981
CCCCCCCCCC#N,40.8367,37.49409485,0.081852969,56.15284499,0.332285036
CCCC1(C)C(COC)C1OO,40.6682,34.4499855,0.152901149,56.1351505,0.386302785
CCCCC(C)CCCC#N,42.5994,36.43001175,0.14482336,56.10153936,0.350641495
CCCCC(CC#N)CCC,43.746,36.20408249,0.172402448,56.10153936,0.354668644
C#CC(=O)CC(O)CCCCC,40.5473,32.77452469,0.191696495,56.07658598,0.415539942
CCCCCC(C)CCC,41.1939,38.22454071,0.0720825,56.06727058,0.31823789
CCCCCCC(C)CC,44.0807,37.4773941,0.149800386,56.06727058,0.331563786
CCCCCC1CN1CCC,40.3095,37.06641769,0.080454541,56.04423816,0.338622151
CCCCC(C)(C)CCC,40.5967,38.83256531,0.043455125,56.04207357,0.307081933
CCCCC(C)CC(C)C,46.2826,40.19256973,0.131583581,56.01596495,0.282480097
CCCC(C)CCC(C)C,40.0129,36.6067543,0.085126189,56.01596495,0.346494266
CCCCC(C)C(C)CC,43.2571,36.67986298,0.152049884,56.01596495,0.345189126
CCCCCC1CCCCCO1,43.9139,35.67162323,0.187691751,56.00447603,0.363057638
COC(C)NCCCCCO,41.4746,39.13824463,0.056332198,56.00240981,0.301132848
CNCC(O)CCCCOC,40.3095,34.11165619,0.153756405,56.00240981,0.390889494
COCCC(C)(C)NCCO,42.6275,35.48443985,0.167569296,55.9772128,0.366091342
C#CCC(C)CCCCCO,40.7267,36.10900879,0.113382405,55.97297348,0.354884928
C#CCCCCC(C)CCO,41.7388,37.67891693,0.097268802,55.97297348,0.326837318
CNCC(C)CCC(C)OO,42.8329,38.99951935,0.089496174,55.95110418,0.302971408
COCCCC(COC)OC,42.8288,36.64718628,0.144333106,55.92993823,0.344766194
CCC(C)CCCNCC=O,40.3095,35.52620697,0.118664162,55.81155005,0.363461381
CCCCC(C)CNCC=O,40.7528,34.88250732,0.144046364,55.81155005,0.37499483
CCCCOC1CCOCC1C,43.8667,37.0410614,0.155599546,55.77722425,0.335910636
CCCCCC=CCCCO,43.9582,35.18394852,0.199604431,55.7762035,0.369194274
CCC(O)OCC1CCCC1C,41.0787,34.34958649,0.163810284,55.77347278,0.384123226
CC(CCCCC=O)N(C)C,42.5994,34.78225708,0.183503592,55.75669467,0.376177923
CCCCCCC1CCC1C,41.1939,33.88098526,0.177524215,55.70400316,0.391767497
CCCCCC(C)CCN,43.8909,36.89691162,0.159349395,55.70380175,0.337623098
CCCCCCC(C)CN,40.2534,36.43712997,0.094806154,55.70380175,0.345877143
CCC1CCCCCCCC1C,42.1319,33.75408554,0.198847298,55.61787268,0.393107217
CCCCC1C(C)C=NC1CO,42.8416,35.88468552,0.162386897,55.54426346,0.353944345
CCCCCCC1OC1CC,41.7388,38.36187744,0.080906077,55.50988012,0.308918028
CCCCCOCOCCO,41.2481,35.60932541,0.136703863,55.48120034,0.358173125
CCCCCCOCOCO,40.0263,33.36845398,0.166336784,55.48120034,0.398562869
COCCCCCCCOO,42.8823,34.66749573,0.191566317,55.48120034,0.37514878
CCCCCCOCCOO,40.512,35.0231781,0.135486323,55.48120034,0.368737917
COCCCOCCCCO,40.6181,37.6763382,0.072424899,55.48120034,0.320917032
CCOCC(C)CCCOO,44.3768,35.72282028,0.195011351,55.42989472,0.355531515
CCCC(COC)OCCO,43.9229,36.39686966,0.17134639,55.42989472,0.34337112
CCC(C)OCOCCCO,43.8909,36.46072006,0.169287482,55.42989472,0.342219208
CC(C)C(N)NCCCC=O,40.3108,34.03423309,0.15570435,55.3967756,0.385627905
COC(C)CCC(C)COO,41.0787,37.00718307,0.099115038,55.37858909,0.331742038
CCC(C)CC(COO)OC,43.2571,37.46716309,0.133849401,55.37858909,0.32343594
CCCCCCC1CCC1N,43.5454,37.10391998,0.147925614,55.34053433,0.329534483
CCCCCCCOCC=O,44.1903,40.5100174,0.083282589,55.29034058,0.267321978
CCOCCCCCCC=O,40.7528,32.85240555,0.19386139,55.29034058,0.405820163
COCCCCCCCC=O,46.8881,39.2205162,0.16352942,55.29034058,0.290644337
C=CC(CC)COOCCC,42.8416,34.6049118,0.192259117,55.28191866,0.374028387
CC1C(CN)C(O)C1CCOO,42.1756,34.91334152,0.172190994,55.26491362,0.368254843
CCCCCOC1CCCOC1,40.8367,33.93391418,0.169033879,55.24632492,0.385770651
CCCC(C)OCCCC=O,40.7267,35.74460983,0.122329827,55.23903496,0.352910313
