SMILES,des_cv,pred_cv
C1=CNC2CCCCC2C1,25.0092,35.86844
CC1NCCCC1CC=O,36.7449,39.609726
CCCC1C=NC=NC=N1,34.6343,34.980114
CC1CCC2CCC12CO,26.6727,39.186897
COCCCCC(CO)CO,35.4509,42.22007
C1=CC2C3C4CC1C4C23,25.9407,27.059721
CC1=NOC(C(C)C=O)OC1,41.7564,39.768433
CCCC(C)CC(C)CC,41.5503,42.236366
CCCCCCC(C=N)CO,38.6394,42.222507
CCCCC(C)CCC#N,39.505,42.011063
C#CC1OC1OCCC,33.3343,35.18978
COCCCOC1CO1,26.1782,35.906315
CCNNCCC1CCOC1,36.2374,41.992744
CC1C2CCNC1C2,34.6343,31.26677
OCN1C=NCCCC2=C1C2,33.4766,35.598972
CC1N2CCCNNC12C,28.3295,37.380867
CCC12NCC1CC2=O,30.6707,32.911507
C=COCNC(N)CCC,34.5817,41.88122
C#CCNCCC(C)C=N,35.4509,41.609505
COCC1=CCCCC1C,35.1922,40.07389
C=C(C)NOOCC(N)CO,36.6557,41.979706
C1=C2CNNNCCC2N1,28.7777,31.600397
CCCCOCCNCCC,39.6408,42.232704
COCC1CC(CCO)C1,36.5976,41.456017
CCC1CCCCCC1(C)C,37.6501,42.234352
CCc1nccncocn1,25.9166,34.17862
COCC1=COCC1,32.1446,29.436821
CCCCNNCC1CC1N,33.8213,42.198395
C#CC#CC1CCCOC1,38.9118,36.35417
c1cnc2ccc-2ccn1,21.522,26.345753
CCCC1=CCCC=CN1,34.4483,39.225067
CCNC#CC(O)C=O,41.1564,35.683075
CC1=NCC(C)C2CON2C1,27.7001,38.34801
O=CC1CC2CC1CN2,21.3564,29.628918
CC1CC2NNCC12O,33.0666,31.884653
CCCC(C)C1CC(C)C1,35.4509,42.199642
CCC1(CCOO)CC1,41.6338,38.403107
N=CC1C=C2CC=C2CN1,28.0475,31.853321
CCOC1OCCC1N,29.4921,35.734978
C=CC(=O)C(O)OCC,37.2322,36.620636
CC1NC2C(O)CCC12,35.4677,33.817757
C=CC(N)CC#CNCC,34.7815,41.347675
COCC#CCC1CC1O,39.505,39.7444
COC1NCCCCCC1O,37.3177,42.061028
